tweet_id	text	label
591903220357730304	RT @Hadithoftheday: Do your bit for the victims of the devastating earthquake in Nepal, donate via Human Appeal who're on the scene now: ht‰Û_	relevant
592589555812864003	RT @ANI_news: Indians evacuated from #NepalEarthquake reach Ahmedabad airport._ https://t.co/qDdVSrdZ0w http://t.co/NpngkUg9Bu	relevant
592825666262929408	Free call to Nepal via Skype! Thanks Skype! http://t.co/KTgRbJtQNF	relevant
591903276750114816	To #Kathmandu and back: ‰Û÷Even now when I stand up, it feels as though the earth is moving‰Ûª. http://t.co/MBybCWve5o #NepalQuake	relevant
591902696375877632	My thoughts and prayers to everyone in Nepal... http://t.co/X71NzSFThH	relevant
591902696895950848	RT @john: Prayers For Nepal http://t.co/tVwARmkdTG	relevant
592649617826783233	Ganesh Giri's wife &amp; 5month old child is stuck in debris in #NepalEarthquake neither can I forget his face nor stop my tears.	relevant
591902697395064832	@sweetasingh LIVE from Airport Kathmandu 19:03hrs in conversation with AOK in Studios http://t.co/r9dGNR8kBl	relevant
591903404542267392	Wow... praying for the people affected by the massive earthquake in #Nepal ‡_Á4‡_äC	relevant
591902697487405056	RT @ndtv: Thousands flee Kathmandu as India steps up relief efforts in Nepal: 10 developments http://t.co/2PSUwTRqv5 http://t.co/0yVpcvhjED	relevant
591903384933916672	RT @kathmandupost: "I survived by drinking muddy water," says man rescued after 98 hours. #NepalQuake  http://t.co/QRxVOkcbam http://t.co/F‰Û_	relevant
591903242981773312	RT @SuvalagnaC: CNN missed out India in list of nations helping Nepal. &amp; India is pouring heart! Height of Presstitution! #ShameOnCNN http:‰Û_	relevant
592068860846559232	wholeheartedly, we support Ϭ#prayfornepal http://t.co/OO4O59lFW6	relevant
591902698229739520	think of Nepal over 5000 daed my by more that isnot climate change its natur whatis next not even mother nature can help that how it is	relevant
591903391376220161	RT @RailMinIndia: 722 zero value tickets provided to the needy by NER #NepalEarthquake ! Zero value tickets for those who need it at T3- MR‰Û_	relevant
592071343614590977	So sad for those in Nepal	relevant
591902698552832000	kontext_bat: RT WSJ: Google executive Dan Fredinburg killed in Everest avalanche after Nepal earthquake ‰Û_ http://t.co/FxC3K1WB3t	relevant
591903361810599936	Nepal Earthquake Relief Mission welcomes donations http://t.co/rrnoqcAJEO #changepenang	relevant
592589521558077440	@christian_aid want to donate to appeal through @cafonline @cafaccount but not yet listed on their site.#Nepal #NepalQuakeRelief	relevant
591917803273211904	mt @emilyrauhala Nepal EQ also toppled buildings in Tibet, Chinese state media reports. No word on casualties there. http://t.co/5WCtMEQr7B	relevant
591902698900889601	RT @TerrellVito: Thoughts and prayers going out to the people of Nepal ‡__F ‡_Á4 http://t.co/Tj9DdPzBbt	relevant
592620915025776640	#NepalEarthquake  I wish I was there to lend my shoulders too. http://t.co/Wciyhj1Q6N	relevant
592074189814665216	Google's @danfredinburg dies of head injury after #NepalEarthquake: http://t.co/O2EpcbLDYc via @heyheyesj	relevant
592657819998003200	Dozens of hikers stranded on Mt. Everest. Hiking trails have been wiped out, so they have no way to hike off the mountain in #Nepal. #fox35	relevant
592768628593979392	#NepalQuakeRelief donations so far: - 7 countries = $25M - nonprofits = $2.5M More:  http://t.co/eP7abN5GJV http://t.co/tXkcM7kfXK	relevant
592591660955127809	Last night we sent specially trained staff to #Nepal as part of the UK's response following the weekend's events. http://t.co/ZLWtycOWtt	relevant
592969070972116992	#EagleNews #Rushmoor Nepali leader 'cost is high' but lessons must be learnt #NepalEarthquake http://t.co/UMh5mTtuov http://t.co/urPzzyaZpF	relevant
591902701711065088	RFI Khmer Radio - nepal earthquake 5days after: http://t.co/CdohnitX2f via @YouTube	relevant
591902701727850496	RT @SERVE_ON: Fantastic message of support from the lovely @470Girls we know Dan &amp; the team in #Nepal will be delighted. https://t.co/2k4dw‰Û_	relevant
591903249097175040	In Nepal, A Flood Of People Leave Capital To Return Home http://t.co/ALr48mMFl0	relevant
591903117844713472	PLEASE PRAY FOR HUMANITY &amp; PEOPLE WHO DIED &amp; INJURED IN EARTQUAKE IN INDIA &amp; IN NEPAL MAY GOD PROTECT AND BLESS ALL HUMAN BEINGS &amp; HUMANITY	relevant
591902702285664256	RT @Harry_Styles: To help those affected by the devastating earthquake in Nepal, text: DONATE5 to 70008 and give å£5. Thank you @savechildre‰Û_	relevant
592665503157657605	Dozens of Britons untraced in Nepal: Dozens of British and Irish people are among the missing, as the Disaster... http://t.co/7Mv99zLtdI	relevant
591912918553382912	@CaitlynnCJE aw thanks Caitlynn, yeah they live in Kathmandu so it's quite bad but they're all fine x	relevant
591902704454258689	Microsoft offers free Skype calls in Nepal, Facebook donates $2 million http://t.co/ruGqXVhQdX	relevant
591903294223585280	RT @SouleFacts: In Sindhupalchok alone, death reaches 1,300. 90% homes destroyed, desperate wait for help. https://t.co/OVcstUHoav  #NepalE‰Û_	relevant
591915481461760002	Strong earthquake rocks Nepal, damages Kathmandu: Comments Source: Hacker News http://ift.t... http://t.co/uffsK10rts #hacker #headlines	relevant
591919444319961088	#Earthquake in #India and #NepalEarthquake , #magnitude was 7.9 http://t.co/amHyLZi5Xy	relevant
591903231380295680	‰ÛÏ@payussfr: Remains a beautiful place and always protected them god, Their country will rise from adversity. Amiin ‡_àC #PrayForNepal‰Û relevant
592100872592560128	Sending our thoughts&amp;prayers 2 people of &amp;in Nepal,trying to find out if Razon Miah &amp; family &amp; Narayan Khatri &amp; family ok #NepalQuake	relevant
591902705397956608	Google exec dies in Mt. Everest avalanche after Nepal quake http://t.co/s0jpaUROB1 #Startup #Entrepreneurs #Ideas	relevant
591903361223393280	Canine Disaster Search Teams enroute to #Nepal - click for our latest update http://t.co/pxhUOZPlIr #searchdogs #USAR http://t.co/sxL4UyC6r7	relevant
591902706547105793	RT @unisdr: Breakdown in communications hampering response effort #NepalEarthquake  https://t.co/kBD05ZVtFN	relevant
591906736438513664	It's sad. https://t.co/q1AcSwbg0K	relevant
592199445766213632	@cricketaakash sir Do RT this information https://t.co/F0xUePYzP3 #NepalQuakeRelief	relevant
592667904606371840	@sardesairajdeep  Hello do you hear?  This includes people like you too!  #ThankYouPM  @narendramodi @mediacrooks  https://t.co/CdMYmZ88lQ	relevant
591921426870964224	Nepal's Ministry of Home Affairs says more than 150 people have died in the capital, Kathmandu, following a 7.9 magnitude earthquake.	relevant
591903241920782336	RT @TheTweetOfGod: You can pray for Nepal, or you can actually do something by contributing to relief efforts: https://t.co/Cm3XaC0rSp	relevant
591902709445361665	RT @AskAnshul: Pak Insulted Hinduism / Buddhism culture of Nepal  if Pak don't want to help its ok but don't spoil Spirituality n Beliefs  ‰Û_	relevant
591903239093661696	RT @USEmbassyNepal: Here's a list of NGOs Responding to #NepalEarthquake http://t.co/FT3ctjpxT4 via @CIDIoutreach #WeStandwithNepal http://‰Û_	relevant
591902710191951873	RT @BBCBreaking: #NepalEarthquake latest http://t.co/hTcl4Kv0M5  - 3,617 killed - 6,515 injured - Totals "set to rise" - Huge damage http:/‰Û_	relevant
591903321176289280	@manjushreethapa Thanks. Have those details. Our thoughts also with the people of Nepal.	relevant
591903207720296448	RT @MalteserInt: Ingo Radtke, Malteser International Secretary General on our first response to the devestating #NepalEarthquake https://t.‰Û_	relevant
592749376566595584	@sunirr reports for @CNN about the situation in #Kathmandu after the #NepalEarthquake http://t.co/Z261nKaiBL	relevant
592956583929368576	I added a video to a @YouTube playlist http://t.co/SJMDusoefH ROWW Prepares for Nepal	relevant
592069716182749184	Brothers and Sisters please let's pray for #Nepal .	relevant
592840039513591809	Help make it happen for SEEDs Nepal : Rebuilding and Restoring Communities http://t.co/vxtfT5pXWC #indiegogo via @indiegogo	relevant
591903242939965440	RT @emilyrauhala: #NepalQuake: #Tibet also hit hard. China Daily reports 70% of buildings in Nyalam County damaged. (Foreign press barred f‰Û_	relevant
592705071638573058	We should be so proud of this https://t.co/VvkQQdyoXk	relevant
591903351580721152	Whatever Home Ministry wl give orders will try to do that,will provide every possible support: JP Nadda (Union Health Min) #NepalEarthquake"	relevant
592845132145283072	The state of Nepal's historic landmarks http://t.co/nf3Uy1NM8I	relevant
591962206008385536	May Allah Bless us all. Bless the World. Ameen #prayfornepal	relevant
591966530973216768	24 hour control room in Ministry of External Affairs, Nepal thanks India for assistance - The Economic Times http://t.co/EJmmj6sSMW	relevant
591902711496347648	RT @ICEYTREY: Bruce Jenner still front page of Yahoo when 1500 people died in an earthquake in Nepal this morning	relevant
591961748229357568	M6.6 - 49km E of Lamjung, Nepal massive aftershock http://t.co/OwiFrvekja	relevant
592589408546791424	PROCIT update: Internet and power still down in Kathmandu so communication is difficult. Office closed today #nepalquake	relevant
592601118934441984	Just awful. &gt; BBC News - #Nepal #earthquake: Death toll rises above 3,000 http://t.co/M9YZdtpzxK #everest	relevant
591908613146288129	@Inga_Ros Just launched: Google Person Finder http://t.co/ATkBbnnGLG HT @jqg	relevant
591903280583737345	RT @gmeiks: With everything else happening in Nepal, the Kathmandu Post is still covering other world news, including #Baltimore. http://t.‰Û_	relevan
