,text
2121,New South Wales braces for river peaks as Queensland counts flood cost http://t.co/JRwl7RU3 #climate #australia #extreme #flooding
2793,"@Harry_Styles it's flooding and there's tornadoes in Queensland, my house is about to flood it's really scary :( 12"
2360,RT @sunriseon7: More images from the Queensland flood crisis #sun7 #qldfloods http://t.co/c88celZO
2072,Queensland's flood crisis deepens as death toll rises to three - The Australian http://t.co/L6X7Yl6P
2749,"PD for Tue 29 Jan 2013: Queensland flood advice, CHC wants meaningful plan, Sleep study and much more... http://t.co/Z5XCO6c7"
1441,New Scientist  - Australia lurches from fire to flood http://t.co/a5pgSLVJ @newscientist
2591,7500 displaced by Bundaberg floods: QUEENSLAND Premier Campbell Newman says flood devastation in Bundaberg is mo... http://t.co/zhx1RU8K
1526,Standing with @PaulPisasale  as he does a brief about the floods #bigwet
1681,Update: 3 die in Australia flood waters since the weekend - @AP http://t.co/31ltGAQk
2954,"Flood relief appeal launched: THE State Government and the Red Cross have launchedÂ Queensland Flood Appeal 2013,... http://t.co/CIUR6xLd"
1703,RT @rubyblue70: #Scumbag RT @GCobber99 Abbott has warned Labor may seek to raise taxes to pay for flood relief in Queensland\http://t.co ...
2015,"The deadly flood crisis is escalating across southern Queensland  and New South Wales, as Brisbane and Bundaberg ...  http://t.co/pIsHLxLt"
2713,Queensland flood toll rises to six - Sky News Australia: Sky News AustraliaQueensland flood toll rises to sixSky... http://t.co/dCvlBgPK
1939,Clean up begins in flood-stricken Queensland - New Zealand Herald: New Zealand HeraldClean up begins in flood-st... http://t.co/HFFd5iS3
1609,Tornado in Mooloolaba? Got out of there just in time this morning!!
1690,Queensland's flood crisis deepens as death toll rises to three | The Australian: http://t.co/OOVQ2TTw
2580,"Baby stuffed in bag, hoisted from flood: Australia's powerful storms led to an amazing rescue of two women and a... http://t.co/Dkfrhyrg"
2247,Queensland's flood crisis deepens | The Australian: http://t.co/4H4cNwIE
1588,@walkabout71 you shouldn't be driving. All the roads are flooding
1724,Photos: Flood water rises in Australia http://t.co/633H7Vz2
