,tweet
1042,Massive Losses Likely From Hurricane Sandy - Morning Business Memo The multi-billion dollar insurance losses from Hu... http://t.co/y6ybEDdB
1046,RT @mashable: Don't fall for these 6 fake Hurricane #Sandy pics in your feeds http://t.co/UhgfPlCb
1048,RT @twc_hurricane: RT @nygovcuomo: W storm gusts expected to be up to 80-85mph bridges in the NYC area are quickly becoming unsafe closures before 7pm #Sandy
1060,#Sandy has impacted the national @RedCross blood supply. Thousands of donors needed to help patients. http://t.co/YxtlYpYc
1074,RT @TomPodolec: #Sarnia hydro worker killed repairing downed power line damaged by storm #Sandy near Lake Huron shoreline. Ministry of Labour investigating
1078,RT @NewYorkPost: BREAKING: Crane Collapse in Midtown #NYC #hurricance #sandy http://t.co/BzPP4PPE
1093,39 dead in Hurricane Sandy... RIP &lt;3
1094,RT @KatDeLuna: What a heroic picture. Our statue of Liberty standing strong as she faces Sandy. http://t.co/qn2KQYuc
1096,Personal watercraft in New York Harbor as Hurricane Sandy approaches NYC http://t.co/SREonVoW http://t.co/AQdhOr0G
1097,Sandy's damage to Central Park: Superstorm Sandy tore through NYC's Central Park knocking down many trees. http://t.co/pkCLj7z7
1098,RT @RomneyStormTips: Everyone in the path of the hurricane should head to their second or third home to safety #Sandy #RomneyStormTips
1108,#BlogHer12 -ers you'll know where this is. RT @AlexJamesFitz: Bloomberg: All buildings near damaged crane on 57th st evacuated #nyc #sandy
1109,RT @NewYorkPost: Hurricane Sandy from Space http://t.co/LQflUgKr
1113,RT @cohenkomo: Items @worldvision giving to #Sandy victims: food blankets flood cleanup kits. Their #NYC warehouse flooded. http://t.co/pIcK5XQW
1127,#sandy Bring your pets inside! Do not keep animals outdoors!
1137,Great pic by @JohnMinchill Patient put into ambulance during evacuation at NYU last night http://t.co/I5MOuKFL via @in_focus #sandy
1140,How to Help Sandy Victims: If you can't personally provide shelter and supplies to those affected by superstorm... http://t.co/pSRasZdo
1141,Sandy Hits Coast Floods New York: Sandy carved a harrowing path of destruction through the East Coast promisin... http://t.co/CSQyOD1d
1148,RT @HC_Sandy: #NYC | ALERT: Lower Manhattan is submerged #Sandy http://t.co/Dyb7k9LM
1173,#Sandy #Alert #EASTCOAST: Sandy rips through the East Coast making it's way up to Canada.
1177,More than 760000 Con Ed customers in NYC still without power http://t.co/AQJanWRZ
1178,kimberlymufferiphotography: #williamsburg #brooklyn earlier today. East river coming in. #bridge #nyc #sandyÃ¤Ã³_ http://t.co/tXvjGyQC
1180,Headline @USATODAY: NYC tries to heal after deadly storm http://t.co/c6ee2lJN
1191,RT @amercogliano: A time-lapse of the NYC skyline during hurricane #Sandy. http://t.co/1CuHPylH
1198,This is the explosion that blacked out lower Manhattan -- WATCH: http://t.co/h2GabvEu #Sandy via @BloombergNews
1214,RT @TheSamSlater: For every RT this gets @slaterorg will donate $25 to the @redcross to help victims of hurricane Sandy! @twitter
1220,can anyone help this reporter get from Boston to NYC tomorrow? http://t.co/alk9C3Qn #sandy
1224,RT @LucyWeather: last night RT Ã¤Ã³Ã¬@JustinKing224 the only building with power in #NYC right now is the Empire State Building. #Sandy http://t.co/RlGmpYDVÃ¤Ã³Â
1230,RT @News12LI: For the first time in 39 years the Halloween Parade in NYC is CANCELLED. #Sandy
1234,WHOA here's a video from East Village NYC. Totally flooded: http://t.co/1GL09F4t #Sandy
1243,RT @Salon: NYC Sandy updates: Coney Island hospital reported to be on fire; NYU hospital evac in progress; building collapse video http://t.co/iX1XxgUE
1249,New Video: Celebrities React to Hurricane Sandy Aftermath http://t.co/PzRPCscg
1262,New York City taxis are pictured on a flooded street... http://t.co/wBC33u9t #Sandy #Frankenstorm #Hurricanesandy #NYC #Nyse via @starvpan
1265,RT @MikeBloomberg: Update on #Sandy in about 15 minutes. Stay tuned to http://t.co/pzWEzMcp
1270,There are NYC train stations filled with water to the ceiling... #Sandy
1272,RT @TrevorProject: If you exp. any delays calling the Trevor Lifeline due to #Sandy and need immediate help please call @800273TALK
1277,RT @Reuters: Live coverage of storm #Sandy http://t.co/Iizwuago
1284,RT @TIME: NY Gov. Cuomo: Heaviest weather expected as early as 6pm ppl should get to a safe place | http://t.co/Kibluzrp #Sandy
1285,Ã¤Â»Ã§Â’Â‡ RT @Reuters: Eighteen deaths in New York City because of #Sandy --Mayor Bloomberg
1287,RT @HuffingtonPost: Mayor Bloomberg: 670000 New Yorkers without power. #Sandy #NYC
1292,RT @twc_hurricane: #Sandy power outages are occurring as far west as northwest Indiana and southwest Michigan. Winds gusting to 40+ mph there now.
1313,Limited train service resuming in NYC after superstorm Sandy - CBS News - Hindu Business Line Limi... http://t.co/QF2i3M9o
1321,Closed 6th Ave. at CPS because of damaged crane #sandy #nyc http://t.co/Sxkwj4kT
1323,RT @_baseballwisdom: Hurricane Sandy will cross the path of 60 million people. That's more than the population of South Africa. #PrayForTheEastCoast
1324,Russell Simmons on NYC Homeless -- 'They're F**ked' http://t.co/gAWUd6VC
1333,RT @jjauthor: State by state guide to Hurricane Sandy - http://t.co/iu21TCI0
1334,RT @RYOTnews: Photo: Insane flooding in the #East Village #NYC after #Sandy. Get your breaking Sandy news at http://t.co/w0dJpvR2 http://t.co/tok7YwPi
1361,Over the next few hours the storm will be at its worst in NYC.. Be safe and stay inside! #Sandy #hurricane #NYC
1365,Post Hurricane Sandy in Williamsburg (NYC): http://t.co/UYA8zQWd PHOTOS
1366,RT @carsontink: If you haven't seen this picture yet it's awesomeÃ¤Ã³_ Tomb of the Unknown Soldier during Hurricane Sandy http://t.co/GuBhRBpw
1370,RT @BBCBreaking: Restoring power after storm #Sandy could take 8 days - New Jersey governor. 29 hospitals lost supplies. Updates LIVE http://t.co/iOaS5AZ4
1372,RT @MarioBaloteLAD: Live picture of Hurricane Sandy in America wow. http://t.co/2w9wC5DX
1379,RT @piersmorgan: That broken crane is dangling from the tallest residential building in NY right outside CNN in NY. Alarming. #Sandy http://t.co/wjNYlCzl
1387,RT @Uncucumbered: Chris Christie: President Obama Ã¤Ã³Ã–Has Been GreatÃ¤Ã³Â» And Ã¤Ã³Ã–All OverÃ¤Ã³Â» Hurricane #Sandy http://t.co/qUIiMRXm
1389,Sandy leaves 39 dead 8.2 million without power in US - CBC.ca: CBC.caSandy leaves 39 dead 8.2 million without power in USCBC.caUpda...
1424,RT @NYCMayorsOffice: The Tappan Zee Bridge will close at 4 PM today per @NYGovCuomo. #Sandy
1432,RT @_AshesDaarling: Hurricane Sandy be hitting New Jersey at 6pm today. Toronto should get up to 10 -15 km of wind when it comes up here.
1434,Ã¤Ã³Ã¬@nadinefanous: #Sandy damage estimated at $20bnÃ¤Ã³Â @SandyHani
1465,RT @AlfredoFlores: The power just went out at my house in Jersey! Damn you Sandy. Stay safe everyone.
1482,RT @downstreamnow: U.S. East Coast Refiners Assessing Damage After Passage of Sandy http://t.co/a7DiTAvJ
1485,RT @ASPCA: NYC ALERT: ALL evacuation shelters are pet friendly - don't leave your pets behind! http://t.co/Xs6MngZp #SANDY #sandypets
1492,RT @nycarecs: Looting Reported At South Street Seaport After Last Night's Hurricane Sandy Surge http://t.co/GRh5DZvU #looting #nyc #sandy
1500,RT @SalArmyEmpire: Major Acosta sits with an #Albany NY resident in a shelter @ Salvation Army Albany Center #Sandy. http://t.co/pfacyqiV
1516,Hurricane Sandy affects East Coast restaurants | Nation's Restaurant News http://t.co/YD5szjlw
1524,RT @NewYorkPost: 'WORST STORM IN 108-YEAR HISTORY' NYC transit crippled after Sandy http://t.co/RAKtAKr3
1531,RT @GeoffArsenal: Great pic of NYC waiting for #Sandy to come. http://t.co/YRfJ4amO
1542,Partial building collapse on block where I grew up.#sandy #NYC-Still had coal shoot when I was a kid...wow..some storm! http://t.co/c83W9xuU
1555,DC Mayor says not aware of any storm-related deaths from #Sandy. @wamu885news #WAMUSANDY
1559,RT @enemyspy: #NYC firefighters look up at a crane dangling from a building on 57th st. #Sandy #image via @Time Instagram http://t.co/BT3E5PMC
1562,"RT @WillamsburgNews: #Hurricane #Sandy @FDNY battles the Breezy point fire 50 plus homes! http://t.co/h9x9bi8k"" #FDNY #Storm #NYC #NEWYORK http://t.co/8hVM1Sud"
1567,RT @stormchaser4850: Update: Several buildings in Baltimore MD collapsed overnight as #Sandy moved through the region http://t.co/ghrwEwlr
1572,BROOKLYN/NYC: Please donate clothes/towels to your local evacuation shelter. They REALLY need it. #Sandy #sandyaftermath
1574,RT @RexHuppke: BREAKING: Donald Trump will donate $5 million to hurricane relief effort if everyone admits Hurricane Sandy started in Kenya
1599,RT @CNN: A giant crane on a skyscraper in New York City has partially collapsed. Details on @CNN TV and in our live blog: http://t.co/iG6yvoBt
1606,RT @NoradNorthcom: USNORTHCOM roll-up: U.S. Northern CommandÃ¤Ã³Â»s Support to Hurricane Sandy http://t.co/051CRhHu
1618,Wow hurricane Sandy on her way through New York http://t.co/XGNMxNjQ
1623,Places in #Manhattan with #free #WiFi and power if you need to connect/recharge @ http://t.co/4gRJ8h52 #Sandy #NYC
1632,Statue Of Liberty In Hurricane Sandy Photo Goes Viral In NYC Is It Real Or Fake? http://t.co/OebhkUu7
1648,"RT @inkyamy: #Corbett says PA ""dodged a bullet"" with #sandy top priority getting power back to 1.3m."
1651,RT @arstechnica: Why Sandy's storm surge will pack an unusually strong punch in NYC http://t.co/nje2mgFs by @ScottJ_ars
1653,Continuing live Hurricane #Sandy coverage from WPVI-TV coverage in Philadelphia PA http://t.co/2E63hJpM
1672,RT @usnews: Eerie video of flooded NYC streets just as the blackout hits http://t.co/DaFOfKrF #sandy
1675,Ã¤Ã³Ã¬@NewsChannel9: Photo of flooded LaGuardia Airport from @JetBlue #Sandy http://t.co/2VsYw9oUÃ¤Ã³Â @MirandaMajor did you see this?!?
1690,RT @ASPCA: NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets
1692,Ã¤Ã³Ã¬@YourAnonNews: #NYC #Sandy - Firefighter on scanner just confirmed fuel leak contamination. Drink bottled water. Boiling will not help.Ã¤Ã³Â
1695,RT @SCRedCrossBlood: #Sandy has impacted the national @RedCross blood supply. Thousands of donors needed to help patients. http://t.co/hJDrL55S
1703,6 alarm NYC fire during Sandy destroyed 80+ homes in Breezy Point neighborhood in Queens. Photos &gt; http://t.co/vKHVBI3Y
1731,RT @NewYorkPost: BREAKING: George Washington & Verrazano Bridges closing at 7PM this evening #sandy #hurricane
1752,RT @PatchTweet: Get the latest #Sandy #Patch coverage on the #EastCoast from our @Storify http://t.co/UQ9Evb2g
1755,RT @Selintifada: Hurricane Sandy arrived to Haiti A WEEK AGO! 54 dead 200000 homeless (minus the hundred thousand more from 2010) but you hear nothing.
1757,RT @NYGovCuomo: After #hurricane #Sandy: stay away from disaster areas. Do not sightsee! Obey all curfews & emergency orders which are issued #SandySafety
1760,RT @WBUR: Unreal photos coming out of NYC. Here's an @AP photo of seawater flooding a construction site at Ground Zero: #Sandy http://t.co/1Hsdhr4o
1776,RT @nuriaq: Pet owners get help with evacuation http://t.co/sLHfOzFr vÃ­_a @USATODAY #sandypets
1782,RT @NYCMayorsOffice: The Mayor will update New Yorkers on #Sandy in about 15 minutes. Stay tuned to http://t.co/TEDML8bl.
1791,RT @ChaserCentral: 5 Fake Hurricane Sandy Photo's You're Sharing on Social Media: http://t.co/eYpobfgS
1793,RT @JLo: If you need a safe place to stay shelter info avail. in #RedCross HurricanApp #Sandy http://t.co/8jIdUqhq
1798,RT @Hell0imnatalie: Sandy's eye is hitting union county in 4 hours ecall 911
1819,Hurricane #Sandy coverage illustrates creative emergency reporting | Knight Center http://t.co/qBFTw3aK
1820,#Sandy's damage in #EastHaven pales in comparison to Irene's officials say - http://t.co/TiWHNxen @nhregister @nhrswift
1840,A look at Caribbean deaths damage from Sandy: Hurricane Sandy has been blamed for at least 71 deaths in the Car... http://t.co/0VypL54g
1847,"RT @TrueMarketAI: Fire damage now up to ""111 homes completely destroyed"" in Queens NYC NY... dozens more damaged. - #Sandy #FDNY #NYPD @MyFoxNY"
1850,RT @DNAinfo: What Roads Bridges and Transit Services Are Open and Still Closed #HurricaneSandy #Sandy #SandyNY #NYC http://t.co/BjwjIat8
1861,RT @BloombergNews: Tropicana CEO reports minor storm damage to New Jersey casinos | http://t.co/RWfveWUp #Sandy
1865,Sandy buries West Virginia under snow http://t.co/Ra8i7gVo
1867,"Ã¤Ã³Ã¬@NYTMetro: ConEd: Number of NYC-area customers without power is about 68700 and is sure to keep rising http://t.co/gIQdU9yX"" be safe!"
1874,AC has been shut down for the 4th time in 34 years and part of the boardwalk broke off and washed away #OHNO sandy what are you doing!
1881,NYC Subway Shutdown Power Outages And Fires Following Hurricane Sandy Destruction (PHOTOS) (LIVE U... http://t.co/oon7JxOD via @HuffPostNY
1883,RT @nytimes: Updated: Death toll from storm rises to 38 across the country; 17 dead in New York http://t.co/VtKG6a4U
1896,out of touch much?? MT @GossipEE Lindsay Lohan tells #Hurricane #Sandy victims to just chill out: #classy http://t.co/vSDuTW9A
1898,RT @cnnbrk: More than 765000 in 7 states have no electricity with NY and NJ being most affected. #HurricaneSandy http://t.co/XEYNBgW0
1903,Ã¤Ã³Ã¬@TIME: NYC firefighters look up at a collapsed crane dangling from a building | http://t.co/AKt5TawB #SandyÃ¤Ã³Â
1905,Hurricane Sandy said to be moving towards Cape May New Jersey - Al Jazeera Blogs: http://t.co/ksbjp9qT
1921,Watch #Sandycam - Hurricane Sandy Live 24/7 on @livestream: http://t.co/3AcsV4YY
1923,RT @rebeccarumble: If you haven't already seen that amazing pic of #NYC with #Sandy coming look now http://t.co/jEaP5n9e
1925,RT @RT_com: Death toll from superstorm #Sandy rises to 40 in US and Canada. At least 18 killed in #NYC http://t.co/RFbLL7kn
1933,RT @redcrossny: URGENT: Volunteers Needed for Hurricane #Sandy Shelters. If you'd like to help learn more here: http://t.co/UQMMqfp0
1944,"HMS Bounty replica is ""reportedly sunk:"" U.S. Coast Guard: (Reuters) - The replica tall ship HMS Bounty reported... http://t.co/KBhF9eyb"
1949,Danny and I were lucky to have power the entire time. Thoughts and prayers are with anyone who has severe damage. #storm #sandy
1959,Double Rainbow Shines in NYC After Superstorm Sandy http://t.co/PVsU29p3 via @mashable
1961,Latest Update on NYC's Preparations for Hurricane Sandy: Posted 10/29/12 @ 5:30 p.m. ET http://t.co/OLp5oNau
1968,RT @donaldrwinslow: Bloomberg says at least 10 dead in NYC and expect that number to go up #Sandy
1970,RT @lou_reuters: UN HQ closed again Tuesday Oct. 30 because of Hurricane #Sandy hitting NYC.
1972,Hurricane Sandy: Latest Updates http://t.co/QHXusTEk
1977,More than 760000 Con Ed customers in NYC still without power: (Reuters) - New York power company Consolidated E... http://t.co/GeIKy34c
